Designator,Value,Supplier 1,Supplier Part Number 1,Comment
,,,,
P101,,Samtec,TW-10-03-F-D-310-SM,TW-10-03-F-D-310-SM
P2,,Samtec,MMS-110-02-F-DV,MMS-110-02-F-DV
"C108, C110",4u7 / 6.3V X5R GRM188R60J475K,Digi-Key,490-3297-1-ND,1608
Q101,,Digi-Key,NTR4501NT1GOSTR-ND,NTR4501NT1G
R111,432k,Digi-Key,311-432KHRCT-ND,1608
R112,47k,Digi-Key,RHM47.0KCFCT-ND,1608
U101,,Digi-Key,BTS117TCTR-ND,BTS117TC
U103,,Digi-Key,296-27010-2-ND,TPS61080DRCR
C104,4.7ตF/25V,Mouser,80-T491A475K025AT,T491A475K025AT
C105,10ต/25V,Mouser,963-TMK325B7106KN-TR,TMK325B7106KN-TR
C107,33p,Mouser,80-C0603C330J5G,1608
D101,,Mouser,771-BAS16-T/R,Diode BAS16
L101,10uH VLCF4018T-100MR74-2,Mouser,810-VLCF418T100MR742,Inductor
P102,,Mouser,798-FH12A-24S0.5SH55,FH12A-24S-0.5SH(55)
"R7, R45, R46, R50, R101, R102, R103",10k,Mouser,660-RK73H1JTTD1002F,1608
"R26, R104",910k,Mouser,667-ERJ-3EKF9103V,1608
"R27, R49, R105, R106, R107, R108, R109, R110",68R,Mouser,667-ERJ-3EKF68R0V,1608
U102,,Mouser,771-LM75BDP,LM75BDP
RT1,,Digi-Key,507-1780-1-ND,Polyfuse 0ZCG0260BF2B 2.6A
"U3, U8",,Mouser,700-MAX17602ASA+,MAX17602AS
"R8, R9",330R,Digi-Key,311-330HRCT-ND,1608
"D2, D3, D4, D5, D6",,Digi-Key,VLMG1300-GS08CT-ND,VLMG1300-GS08
"R12, R13, R14, R17, R22",820R,Digi-Key,311-820HRCT-ND,1608
"R6, R15, R16, R20, R21, R43, R44",100k,Digi-Key,311-100KHRCT-ND,1608
"C1, C2, C6, C21, C22, C24, C27",1u,Digi-Key,490-10734-1-ND,1608
"R1, R2, R18, R29, R31, R37, R39",2R2,Digi-Key,1276-4477-1-ND,1608
"R10, R11, R24, R25, R28, R34, R35, R36, R42",1k5,Digi-Key,311-1.50KHRCT-ND,1608
"R47, R48",68R array,Digi-Key,TC164J-68CT-ND,CNZ1J4K
D8,,Mouser,833-SMBJ5339B-TP,SMBJ5339B-TP 5.6V
D9,,Mouser,833-SMBJ5353B-TP,SMBJ5353B-TP 16V
U1,,Mouser,727-CY8C5888AXILP096,CY8C5888AXI-LP096
U10,,Mouser,512-FSUSB74UMX,FSUSB74UMX
U11,,Mouser,584-AD5242BRUZ1M,AD5242BRUZ1M
U7,,Mouser,926-LM3480IM33.3NOPB,LM3480IM3-3.3
R40,0R,Mouser,660-RK73Z1JTTD,1608
L1,15uH,Mouser,704-DR127-150-R,DR127-150-R
C7,1n,Mouser,81-GRM1885C1H102FA1D,1608
FB1,BLM18PG471SN1D,Mouser,81-BLM18PG471SN1D,1608
"C4, C5, C8, C9, C14, C15, C17, C18, C19, C20, C23, C25, C26, C28, C31, C33, C101, C102, C103, C106, C109",100n,Mouser,81-GRM39X104K25,1608
"D1, D7",,Mouser,"757-CMS04TE12L,Q,M",D1FH3
"Q1, Q2",,Mouser,942-IRF7389PBF,IRF7389
"U13, U14",,Mouser,771-PESD3V3L5UY-T/R,PESD3V3L5UY
"U2, U9",,Mouser,968-ISL28023FR60ZT7A,ISL28023
"C3, C13",150u,Mouser,647-RHA1C151MCN1GS,150u
"R3, R5, R19, R23",22R,Mouser,667-ERJ-3EKF22R6V,1608
"U4, U5, U6, U12",,Mouser,816-C226S,C226S
"USB2, USB3, USB4, USB5",,Mouser,649-10118194-0001LF,10118194-0001LF
"R30, R32, R33, R38",25mR > 250mW,Mouser,588-MCS1632R025FER,Ohmite MCS1632
P1,Thru-hole,Digi-Key,ED10533-ND,Header 5X2 RA
VBAT4,Thru-hole,Mouser,164-6219,VBAT OUT (RED)
GND4,Thru-hole,Mouser,164-6218,GND (BLACK)
USB1,Thru-hole,Mouser,649-73725-0110BLF,73725-1110BLF
"C10, C11, C12, C16, C29, C30, C32, R4, R41, P3, P4",NoMount!,,,